2017-02-12 23:33:35,225 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2009-0.csv
2017-02-12 23:44:19,759 - ___log_ - INFO - Doing regression 0.49; 2009-12
2017-02-12 23:44:20,162 - ___log_ - INFO - Doing regression 0.09; 2010-12
2017-02-12 23:44:23,075 - ___log_ - INFO - Doing regression 0.61; 2011-14
2017-02-12 23:44:27,176 - ___log_ - INFO - Doing regression 0.59; 2009-12
2017-02-12 23:44:28,000 - ___log_ - INFO - Doing regression 0.19; 2010-12
2017-02-12 23:44:28,351 - ___log_ - INFO - Doing regression 0.71; 2011-14
2017-02-12 23:44:36,320 - ___log_ - INFO - Doing regression 0.82; 2011-14
2017-02-12 23:44:39,189 - ___log_ - INFO - Doing regression 0.69; 2009-12
2017-02-12 23:44:39,532 - ___log_ - INFO - Doing regression 0.28; 2010-12
2017-02-12 23:44:41,592 - ___log_ - INFO - Doing regression 0.00; 2012-14
2017-02-12 23:44:44,299 - ___log_ - INFO - Doing regression 0.92; 2011-14
2017-02-12 23:44:46,010 - ___log_ - INFO - Doing regression 0.10; 2012-14
2017-02-12 23:44:47,784 - ___log_ - INFO - Doing regression 0.37; 2010-12
2017-02-12 23:44:50,397 - ___log_ - INFO - Start pickling; 2011-14
